Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
110890,The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,"Wright, Lawrence",,"=""037541486X""","=""9780375414862""",0,4.36,Knopf,Hardcover,469,2006,2006,,2025/07/06,to-read,to-read (#16),to-read,,,,0,0
52283963,The Mom Test: How to talk to customers & learn if your business is a good idea when everyone is lying to you,Rob  Fitzpatrick,"Fitzpatrick, Rob",,"=""""","=""""",4,4.37,Robfitz Ltd,Kindle Edition,138,2019,2013,2025/06/14,2025/06/15,"read-2025, business, non-fiction","read-2025 (#7), business (#1), non-fiction (#2)",read,,,,1,0
129875662,The Mind of Napoleon. A Selection from His Written and Spoken Words Edited and Translated By J. Christopher Herold.,J. Christopher. Herold,"Herold, J. Christopher.",,"=""""","=""""",0,3.00,Columbia University Press,Paperback,0,1961,,,2024/12/28,"read-2024, non-fiction, history","read-2024 (#25), non-fiction (#15), history (#10)",read,,,,0,0
128429,Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein,"Bernstein, Peter L.",,"=""0471295639""","=""9780471295631""",0,3.96,Wiley,Paperback,400,1998,1996,2024/01/01,2024/12/28,"read-2024, non-fiction, history","read-2024 (#2), non-fiction (#6), history (#6)",read,,,,1,0
8255917,Washington: A Life,Ron Chernow,"Chernow, Ron",,"=""1594202664""","=""9781594202667""",0,4.16,Penguin Press,Hardcover,904,2010,2010,2024/01/01,2024/12/28,"read-2024, non-fiction, history","read-2024 (#19), non-fiction (#14), history (#9)",read,,,,1,0
52780817,Philip and Alexander: Kings and Conquerors,Adrian Goldsworthy,"Goldsworthy, Adrian",,"=""1784978701""","=""9781784978709""",0,4.36,Head of Zeus,Hardcover,620,2020,2020,2024/01/01,2024/12/28,"read-2024, non-fiction, history","read-2024 (#6), non-fiction (#10), history (#7)",read,,,,1,0
13588421,The Patriarch: The Remarkable Life and Turbulent Times of Joseph P. Kennedy,David Nasaw,"Nasaw, David",,"=""1594203768""","=""9781594203763""",0,4.08,The Penguin Press,Hardcover,868,2012,2012,2024/01/01,2024/12/28,"read-2024, non-fiction, history","read-2024 (#9), non-fiction (#13), history (#8)",read,,,,1,0
174612914,The Little Book of Deep Learning,François Fleuret,"Fleuret, François",,"=""""","=""""",0,4.30,,ebook,168,2023,,2024/01/01,2024/12/28,"read-2024, non-fiction","read-2024 (#22), non-fiction (#11)",read,,,,1,0
58857438,The Man from the Future: The Visionary Life of John von Neumann,Ananyo Bhattacharya,"Bhattacharya, Ananyo",,"=""0241398878""","=""9780241398876""",0,4.10,Penguin,Kindle Edition,368,2021,2021,2024/01/01,2024/12/28,"read-2024, non-fiction","read-2024 (#12), non-fiction (#12)",read,,,,1,0
17465709,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer,"Kimmerer, Robin Wall",,"=""1571313354""","=""9781571313355""",0,4.52,Milkweed Editions,Hardcover,408,2013,2013,2024/01/01,2024/12/28,"read-2024, non-fiction","read-2024 (#1), non-fiction (#7)",read,,,,1,0
